encoder,target,split,model,auroc,auprc,balanced_acc,brier
conch,ER_status,test,CLAM-SB,0.5404,0.8156,0.5,0.1838
resnet50,ER_status,test,CLAM-SB,0.5901,0.8274,0.6491,0.2029
uni,ER_status,test,CLAM-SB,0.559,0.8113,0.528,0.2286
conch,ER_status,test,Mean-pool + LR,0.354,0.7301,0.4255,0.3695
resnet50,ER_status,test,Mean-pool + LR,0.4099,0.7532,0.4907,0.3593
uni,ER_status,test,Mean-pool + LR,0.5,0.7649,0.5839,0.3124
conch,ER_status,test,Tumor-Aware CLAM,0.5466,0.8083,0.5,0.1889
resnet50,ER_status,test,Tumor-Aware CLAM,0.5404,0.7993,0.4783,0.1881
uni,ER_status,test,Tumor-Aware CLAM,0.6646,0.8726,0.6273,0.2091
conch,ER_status,val,CLAM-SB,0.6643,0.8592,0.5,0.1817
resnet50,ER_status,val,CLAM-SB,0.85,0.9528,0.5929,0.1514
uni,ER_status,val,CLAM-SB,0.7929,0.9277,0.6429,0.1953
conch,ER_status,val,Mean-pool + LR,0.5357,0.785,0.5893,0.2764
resnet50,ER_status,val,Mean-pool + LR,0.7786,0.9119,0.7571,0.1871
uni,ER_status,val,Mean-pool + LR,0.65,0.8405,0.6143,0.2248
conch,ER_status,val,Tumor-Aware CLAM,0.6357,0.8471,0.5,0.183
resnet50,ER_status,val,Tumor-Aware CLAM,0.8214,0.9431,0.5,0.1708
uni,ER_status,val,Tumor-Aware CLAM,0.7571,0.899,0.6179,0.1661
conch,HER2_status,test,CLAM-SB,0.5684,0.3022,0.4421,0.2428
resnet50,HER2_status,test,CLAM-SB,0.5789,0.3064,0.4684,0.2829
uni,HER2_status,test,CLAM-SB,0.5158,0.2564,0.3895,0.4037
conch,HER2_status,test,Mean-pool + LR,0.5263,0.2965,0.5158,0.3115
resnet50,HER2_status,test,Mean-pool + LR,0.6211,0.3413,0.6421,0.3162
uni,HER2_status,test,Mean-pool + LR,0.5158,0.2456,0.5158,0.34
conch,HER2_status,test,Tumor-Aware CLAM,0.5789,0.4033,0.5211,0.2056
resnet50,HER2_status,test,Tumor-Aware CLAM,0.6211,0.2978,0.5421,0.3184
uni,HER2_status,test,Tumor-Aware CLAM,0.4737,0.2465,0.4947,0.2931
conch,HER2_status,val,CLAM-SB,0.6444,0.4494,0.5,0.2274
resnet50,HER2_status,val,CLAM-SB,0.6556,0.4133,0.5167,0.2952
uni,HER2_status,val,CLAM-SB,0.5111,0.3689,0.4667,0.3927
conch,HER2_status,val,Mean-pool + LR,0.6111,0.384,0.5833,0.2818
resnet50,HER2_status,val,Mean-pool + LR,0.4556,0.2872,0.4833,0.3958
uni,HER2_status,val,Mean-pool + LR,0.6556,0.5138,0.5333,0.2807
conch,HER2_status,val,Tumor-Aware CLAM,0.6222,0.516,0.5,0.214
resnet50,HER2_status,val,Tumor-Aware CLAM,0.6222,0.374,0.5333,0.2984
uni,HER2_status,val,Tumor-Aware CLAM,0.5444,0.3328,0.4333,0.3129
conch,PR_status,test,CLAM-SB,0.596,0.7404,0.5,0.2637
resnet50,PR_status,test,CLAM-SB,0.5808,0.7466,0.5,0.235
uni,PR_status,test,CLAM-SB,0.5505,0.7441,0.5152,0.3107
conch,PR_status,test,Mean-pool + LR,0.4394,0.6217,0.4697,0.3629
resnet50,PR_status,test,Mean-pool + LR,0.5808,0.7302,0.4697,0.3606
uni,PR_status,test,Mean-pool + LR,0.5404,0.7154,0.5884,0.3477
conch,PR_status,test,Tumor-Aware CLAM,0.5859,0.7224,0.5,0.2361
resnet50,PR_status,test,Tumor-Aware CLAM,0.5556,0.7699,0.452,0.2446
uni,PR_status,test,Tumor-Aware CLAM,0.5404,0.6971,0.5,0.2638
conch,PR_status,val,CLAM-SB,0.6842,0.8646,0.5,0.2116
resnet50,PR_status,val,CLAM-SB,0.7697,0.9157,0.5,0.2006
uni,PR_status,val,CLAM-SB,0.6513,0.8351,0.6184,0.2294
conch,PR_status,val,Mean-pool + LR,0.3816,0.7114,0.3783,0.3811
resnet50,PR_status,val,Mean-pool + LR,0.5855,0.7565,0.5559,0.3024
uni,PR_status,val,Mean-pool + LR,0.6842,0.8691,0.5197,0.2598
conch,PR_status,val,Tumor-Aware CLAM,0.5987,0.808,0.5,0.2038
resnet50,PR_status,val,Tumor-Aware CLAM,0.7368,0.8738,0.6711,0.1996
uni,PR_status,val,Tumor-Aware CLAM,0.6711,0.8542,0.5,0.2075
